id,type,frame_num,x,y,confidence
1,0,1,429,416,0.879310131072998
2,0,1,490,528,0.7601147294044495
3,0,1,532,1358,0.7148996591567993
4,0,1,588,881,0.6919733881950378
2,0,2,490,528,0.801193118095398
3,0,2,532,1359,0.6303873062133789
4,0,2,589,883,0.7972759008407593
2,0,3,490,528,0.7542296051979065
3,0,3,532,1358,0.6161035299301147
4,0,3,588,883,0.6387318968772888
2,0,4,491,527,0.6494579315185547
3,0,4,532,1358,0.6769583821296692
4,0,4,588,883,0.6858886480331421
2,0,5,491,528,0.3125222623348236
3,0,5,532,1363,0.6831051707267761
4,0,5,587,880,0.7310447096824646
2,0,6,491,527,0.2870848476886749
3,0,6,532,1364,0.6351690888404846
4,0,6,587,879,0.7997559309005737
8,0,6,0,690,0.5857797861099243
2,0,7,491,527,0.6000739932060242
3,0,7,532,1363,0.5679161548614502
4,0,7,586,880,0.6229156851768494
8,0,7,0,691,0.5570420622825623
2,0,8,492,527,0.7618810534477234
3,0,8,532,1360,0.47668710350990295
4,0,8,586,880,0.5368330478668213
8,0,8,0,693,0.5611671209335327
2,0,9,490,526,0.8013941049575806
3,0,9,532,1359,0.4735907018184662
4,0,9,586,879,0.5270547270774841
8,0,9,0,693,0.5542120337486267
2,0,10,491,528,0.8323869109153748
3,0,10,532,1359,0.5366108417510986
4,0,10,585,878,0.4919149577617645
8,0,10,0,690,0.5536988377571106
2,0,11,491,527,0.7965715527534485
3,0,11,532,1359,0.5561556220054626
4,0,11,584,878,0.4622405767440796
8,0,11,0,690,0.5344449281692505
2,0,12,491,528,0.8133789896965027
3,0,12,532,1361,0.5873879194259644
4,0,12,583,878,0.46461236476898193
8,0,12,0,689,0.5348674058914185
14,1,12,405,591,0.7052233219146729
2,0,13,490,528,0.8456065654754639
3,0,13,532,1360,0.6751384735107422
4,0,13,582,878,0.3108697533607483
8,0,13,0,690,0.5540707111358643
14,1,13,396,596,0.7160374522209167
2,0,14,490,528,0.8492321372032166
3,0,14,532,1359,0.6261705756187439
4,0,14,582,878,0.3331078886985779
8,0,14,0,689,0.5509461760520935
14,1,14,385,605,0.8194072246551514
2,0,15,490,528,0.7262867093086243
3,0,15,532,1360,0.5914888978004456
4,0,15,582,878,0.3232463300228119
8,0,15,0,690,0.5198276042938232
14,1,15,377,617,0.8727684020996094
2,0,16,490,528,0.73610520362854
3,0,16,532,1360,0.5086539387702942
4,0,16,581,878,0.29986482858657837
8,0,16,0,692,0.4029785692691803
14,1,16,369,629,0.8788312077522278
2,0,17,490,528,0.4897828698158264
3,0,17,532,1360,0.6018769145011902
4,0,17,581,878,0.2913733720779419
8,0,17,0,691,0.31029242277145386
14,1,17,359,640,0.8079296350479126
2,0,18,490,528,0.6067207455635071
3,0,18,532,1360,0.5597326755523682
4,0,18,581,878,0.2696051299571991
8,0,18,0,706,0.24430452287197113
14,1,18,352,652,0.8348897099494934
2,0,19,490,528,0.5522167086601257
3,0,19,532,1360,0.5252507925033569
4,0,19,581,878,0.22551991045475006
8,0,19,0,711,0.2855512201786041
14,1,19,347,664,0.6670873165130615
2,0,20,490,528,0.6216233372688293
3,0,20,532,1360,0.5200217366218567
4,0,20,582,879,0.16785328090190887
8,0,20,0,701,0.2786790132522583
14,1,20,348,675,0.7579132318496704
2,0,21,490,528,0.4423427879810333
3,0,21,532,1360,0.6185073852539062
4,0,21,582,879,0.1684328019618988
8,0,21,0,710,0.4150717258453369
14,1,21,353,688,0.7183846235275269
2,0,22,490,527,0.34510043263435364
3,0,22,532,1360,0.6506410241127014
4,0,22,581,880,0.19095325469970703
8,0,22,0,701,0.5497419238090515
14,1,22,362,701,0.6449320316314697
2,0,23,490,526,0.3802431523799896
3,0,23,532,1360,0.6938453912734985
4,0,23,581,880,0.21217043697834015
8,0,23,0,698,0.5032755136489868
14,1,23,370,718,0.37392914295196533
2,0,24,490,526,0.3749183714389801
3,0,24,532,1359,0.7148658633232117
4,0,24,581,881,0.19478026032447815
8,0,24,0,696,0.4206125736236572
14,1,24,379,735,0.11389921605587006
26,0,24,410,902,0.546849250793457
2,0,25,490,526,0.27301985025405884
3,0,25,532,1359,0.6893596649169922
4,0,25,581,880,0.19297157227993011
8,0,25,0,734,0.30647051334381104
14,1,25,386,752,0.5104067325592041
26,0,25,412,911,0.25725534558296204
2,0,26,490,526,0.2879641056060791
3,0,26,532,1360,0.5745601654052734
4,0,26,581,881,0.1152806282043457
8,0,26,0,733,0.290384978055954
14,1,26,390,774,0.2637362480163574
26,0,26,398,918,0.22716471552848816
29,0,26,325,1072,0.5988752841949463
2,0,27,490,526,0.19613830745220184
3,0,27,532,1360,0.6497313976287842
4,0,27,581,881,0.10253291577100754
8,0,27,0,715,0.30954742431640625
14,0,27,392,795,0.11404886841773987
29,0,27,324,1072,0.5653231739997864
2,0,28,491,525,0.10727106034755707
3,0,28,532,1360,0.6277865767478943
4,0,28,581,881,0.15599790215492249
8,0,28,0,698,0.33694085478782654
14,0,28,395,821,0.23836646974086761
29,0,28,324,1071,0.5221506357192993
2,0,29,491,527,0.10964231193065643
3,0,29,532,1360,0.6118173599243164
4,0,29,582,881,0.19798283278942108
8,0,29,0,691,0.3881032466888428
14,1,29,397,845,0.18187575042247772
29,0,29,324,1071,0.5422399640083313
2,0,30,491,526,0.13722850382328033
3,0,30,532,1359,0.6348466277122498
4,0,30,582,881,0.1483968049287796
8,0,30,0,690,0.5137778520584106
29,0,30,324,1071,0.5645508766174316
2,0,31,490,526,0.1313791275024414
3,0,31,532,1359,0.7111427783966064
4,0,31,582,881,0.18760870397090912
8,0,31,0,690,0.584887683391571
29,0,31,324,1071,0.514196515083313
3,0,32,532,1359,0.7430922389030457
4,0,32,582,881,0.2041739523410797
8,0,32,0,689,0.4595032036304474
29,0,32,324,1071,0.4885481894016266
3,0,33,533,1359,0.7171791791915894
4,0,33,583,880,0.27275919914245605
8,0,33,0,689,0.35761919617652893
